legend,step,pwr
Minimum,0,76.03
Minimum,1,74.4
Minimum,2,75.28
Minimum,3,74.09
Minimum,4,74.82
Minimum,5,74.36
Minimum,6,74.84
Minimum,7,73.78
Minimum,8,74.6
Minimum,9,74.53
Minimum,10,74.83
Minimum,11,75.05
Minimum,12,79.03
Minimum,13,75.91
Minimum,14,74.17
Minimum,15,75.06
Minimum,16,74.05
Minimum,17,74.84
Minimum,18,74.03
Minimum,19,75.15
Minimum,20,73.29
Minimum,21,75.81
Minimum,22,73.79
Minimum,23,74.63
Minimum,24,73.79
Minimum,25,75.13
Minimum,26,74.19
Minimum,27,75.03
Minimum,28,74.49
Minimum,29,75.4
Minimum,30,74.11
Minimum,31,74.29
Minimum,32,74.79
Minimum,33,75.19
Minimum,34,73.57
Minimum,35,74.47
Minimum,36,74.52
Minimum,37,74.91
Minimum,38,73.82
Minimum,39,74.73
Minimum,40,75.2
Minimum,41,74.18
Minimum,42,74.05
Minimum,43,74.94
Minimum,44,74.47
Minimum,45,74.62
Minimum,46,74.45
Minimum,47,74.41
Minimum,48,73.67
Minimum,49,75.22
Minimum,50,73.96
Minimum,51,74.51
Minimum,52,74.89
Minimum,53,74.1
Minimum,54,74.66
Minimum,55,75.21
Minimum,56,74.35
Minimum,57,75.49
Minimum,58,74.69
Minimum,59,74.3
Minimum,60,83.03
Minimum,61,75.23
Minimum,62,74.02
Minimum,63,75.34
Minimum,64,74.13
Minimum,65,74.27
Minimum,66,74.58
Minimum,67,75.27
Minimum,68,74.28
Minimum,69,73.61
Minimum,70,75.06
Minimum,71,74.93
Minimum,72,74.41
Minimum,73,74.24
Minimum,74,74.63
Minimum,75,73.98
Minimum,76,74.84
Minimum,77,74.26
Minimum,78,74.74
Minimum,79,75.2
Minimum,80,74.11
Minimum,81,74.95
Minimum,82,74.19
Minimum,83,75.18
Minimum,84,73.47
Minimum,85,75.97
Minimum,86,74.43
Minimum,87,74.77
Minimum,88,75.34
Minimum,89,73.87
Minimum,90,74.6
Minimum,91,74.62
Minimum,92,73.82
Minimum,93,74.91
Minimum,94,74.84
Minimum,95,74.4
Minimum,96,74.77
Minimum,97,74.08
Minimum,98,74.03
Minimum,99,76.38
Minimum,100,74.22
Minimum,101,74.2
Minimum,102,75.12
Minimum,103,74.48
Minimum,104,74.1
Minimum,105,74.93
Minimum,106,74.82
Minimum,107,74.44
Minimum,108,73.94
Minimum,109,75.81
Minimum,110,74.35
Minimum,111,74.33
Minimum,112,75.44
Minimum,113,74.5
Minimum,114,74.91
Minimum,115,74.52
Minimum,116,73.86
Minimum,117,75.53
Minimum,118,74.52
Minimum,119,74.48
Minimum,120,75.01
Minimum,121,74.85
Minimum,122,73.53
Minimum,123,74.95
Minimum,124,73.84
Minimum,125,74.52
Minimum,126,74.46
Minimum,127,75.38
Minimum,128,74.3
Minimum,129,75.16
Minimum,130,73.53
Minimum,131,74.76
Minimum,132,73.84
Minimum,133,75.25
Minimum,134,74.77
Minimum,135,74.52
Minimum,136,74.39
Minimum,137,73.96
Minimum,138,77.09
Minimum,139,74.27
Minimum,140,74.23
Minimum,141,75.16
Minimum,142,75.38
Minimum,143,74.1
Minimum,144,74.65
Minimum,145,74.48
Minimum,146,75.19
Minimum,147,74.18
Minimum,148,74.98
Minimum,149,75.31
Minimum,150,73.59
Minimum,151,74.98
Minimum,152,74.44
Minimum,153,74.91
Minimum,154,74.12
Minimum,155,75.42
Minimum,156,73.62
Minimum,157,74.01
Minimum,158,75.16
Minimum,159,74.58
Minimum,160,74.09
Minimum,161,75.06
Minimum,162,74.14
Minimum,163,74.43
Minimum,164,75.16
Minimum,165,73.69
Minimum,166,74.9
Minimum,167,74.8
Minimum,168,74.67
Minimum,169,74.62
Minimum,170,75.16
Minimum,171,74.4
Minimum,172,74.49
Minimum,173,74.2
Minimum,174,74.5
Minimum,175,75.68
Minimum,176,74.43
Minimum,177,75.18
Minimum,178,75.06
Minimum,179,74.66
Minimum,180,74.68
Minimum,181,74.02
Minimum,182,74.62
Minimum,183,74.61
Minimum,184,73.96
Minimum,185,75.28
Minimum,186,74.67
Minimum,187,74.19
Minimum,188,74.55
Minimum,189,74.88
Minimum,190,74.78
Minimum,191,74.54
Minimum,192,73.87
Minimum,193,74.36
Minimum,194,74.34
Minimum,195,75.4
Minimum,196,73.35
Minimum,197,75.33
Minimum,198,75.23
Minimum,199,75.45
Minimum,200,74.06
Minimum,201,74.12
Minimum,202,75.35
Minimum,203,74.44
Minimum,204,74.1
Minimum,205,73.32
Minimum,206,74.61
Minimum,207,74.95
Minimum,208,75.32
Minimum,209,73.69
Minimum,210,75.11
Minimum,211,74.06
Minimum,212,74.36
Minimum,213,74.27
Minimum,214,74.62
Minimum,215,74.14
Minimum,216,76.7
Minimum,217,73.22
Minimum,218,75.75
Minimum,219,74.2
Minimum,220,74.3
Minimum,221,74.61
Minimum,222,74.86
Minimum,223,74.18
Minimum,224,73.53
Minimum,225,75.92
Minimum,226,74.27
Minimum,227,75.63
Minimum,228,74.64
Minimum,229,75.14
Minimum,230,74.66
Minimum,231,73.49
Minimum,232,74.62
Minimum,233,74.22
Minimum,234,75.3
Minimum,235,74.38
Minimum,236,74.21
Minimum,237,74.71
Minimum,238,74.63
Minimum,239,74.55
Minimum,240,73.84
Minimum,241,75.08
Minimum,242,74.45
Minimum,243,75.21
Minimum,244,73.38
Minimum,245,74.48
Minimum,246,75.24
Minimum,247,74.39
Minimum,248,74.16
Minimum,249,74.24
Minimum,250,74.62
Minimum,251,74.22
Minimum,252,74.91
Minimum,253,75.42
Minimum,254,73.8
Minimum,255,76.51
Minimum,256,74.89
Minimum,257,73.83
Minimum,258,74.65
Minimum,259,73.92
Minimum,260,74.55
Minimum,261,74.81
Minimum,262,74.81
Minimum,263,74.07
Minimum,264,74.48
Minimum,265,75.22
Minimum,266,75.02
Minimum,267,74.25
Minimum,268,74.65
Minimum,269,73.9
Minimum,270,75.39
Minimum,271,74.14
Minimum,272,74.35
Minimum,273,74.16
Minimum,274,74.94
Minimum,275,75.32
Minimum,276,73.46
Minimum,277,74.91
Minimum,278,74.91
Minimum,279,75.73
Minimum,280,74.12
Minimum,281,74.77
Minimum,282,75.07
Minimum,283,76.09
Minimum,284,73.42
Minimum,285,74.96
Minimum,286,75.09
Minimum,287,74.34
Minimum,288,74.15
Minimum,289,74.6
Minimum,290,74.49
Minimum,291,74.05
Minimum,292,75.3
Minimum,293,73.95
Minimum,294,76.09
Minimum,295,74.44
Minimum,296,74.35
Minimum,297,74.46
Minimum,298,73.89
Minimum,299,75.09
Minimum,300,74.83
Minimum,301,74.42
Minimum,302,74.59
Minimum,303,74.28
Minimum,304,75.53
Minimum,305,73.96
Minimum,306,74.87
Minimum,307,73.96
Minimum,308,75.21
Minimum,309,74.06
Minimum,310,75.03
Minimum,311,75.19
Minimum,312,74.85
Minimum,313,74.07
Minimum,314,74.64
Minimum,315,74.4
Minimum,316,74.2
Minimum,317,74.99
Minimum,318,74.49
Minimum,319,74.58
Minimum,320,74.29
Minimum,321,74.91
Minimum,322,74.1
Minimum,323,75.07
Minimum,324,73.85
Minimum,325,75.25
Minimum,326,74.55
Minimum,327,74.77
Minimum,328,74.38
Minimum,329,74.9
Minimum,330,73.56
Minimum,331,74.9
Minimum,332,74.44
Minimum,333,75.92
Minimum,334,74.16
Minimum,335,74.45
Minimum,336,73.51
Minimum,337,74.71
Minimum,338,75.13
Minimum,339,75.73
Minimum,340,74.16
Minimum,341,74.99
Minimum,342,74.57
Minimum,343,75.68
Minimum,344,73.55
Minimum,345,75.02
Minimum,346,74.28
Minimum,347,74.45
Minimum,348,75.78
Minimum,349,73.79
Minimum,350,74.3
Minimum,351,74.02
Minimum,352,76.07
Minimum,353,73.11
Minimum,354,75.34
Minimum,355,73.98
Minimum,356,75.07
Minimum,357,73.82
Minimum,358,75.07
Minimum,359,74.65
Minimum,360,74.13
Minimum,361,74.84
Minimum,362,74.09
Minimum,363,74.51
Minimum,364,74.01
Minimum,365,74.98
Minimum,366,75.17
Minimum,367,73.82
Minimum,368,75.72
Minimum,369,75.37
Minimum,370,74.24
Minimum,371,74.25
Minimum,372,75.91
Minimum,373,73.3
Minimum,374,75.24
Minimum,375,74.88
Minimum,376,74.2
Minimum,377,75.08
Minimum,378,74.32
Minimum,379,74.6
Minimum,380,74.27
Minimum,381,74.91
Minimum,382,75.47
Minimum,383,73.24
Minimum,384,75.01
Minimum,385,75.02
Minimum,386,74.33
Minimum,387,74.56
Minimum,388,73.77
Minimum,389,75.26
Minimum,390,74.21
Minimum,391,75.01
Minimum,392,74.84
Minimum,393,74.22
Minimum,394,75.05
Minimum,395,74.96
Minimum,396,75.37
Minimum,397,74.24
Minimum,398,74.51
Minimum,399,74.17
Minimum,400,75.68
Minimum,401,73.38
Minimum,402,74.55
Minimum,403,75.15
Minimum,404,75.06
Minimum,405,74.17
Minimum,406,74.72
Minimum,407,74.55
Minimum,408,74.32
Minimum,409,74.74
Minimum,410,74.94
Minimum,411,75.67
Minimum,412,74.76
Minimum,413,74.26
Minimum,414,74.3
Minimum,415,75.15
Minimum,416,74.15
Minimum,417,74.49
Minimum,418,74.82
Minimum,419,74.4
Minimum,420,74.38
Minimum,421,74.94
Minimum,422,74.76
Minimum,423,74.94
Minimum,424,75.51
Minimum,425,73.91
Minimum,426,74.83
Minimum,427,74.11
Minimum,428,75.74
Minimum,429,73.43
Minimum,430,74.95
Minimum,431,74.43
Minimum,432,75.28
Minimum,433,74.45
Minimum,434,75.03
Minimum,435,73.95
Minimum,436,75.06
Minimum,437,74.58
Minimum,438,74.66
Minimum,439,73.94
Minimum,440,74.75
Minimum,441,74.45
Minimum,442,74.91
Minimum,443,74.61
Minimum,444,74.09
Minimum,445,74.94
Minimum,446,73.53
Minimum,447,74.82
Minimum,448,75.06
Minimum,449,74.79
Minimum,450,75.29
Minimum,451,75.1
Minimum,452,74.56
Minimum,453,76.0
Minimum,454,74.41
Minimum,455,74.57
Minimum,456,73.54
Minimum,457,75.56
Minimum,458,73.92
Minimum,459,74.44
Minimum,460,75.38
Minimum,461,74.85
Minimum,462,74.34
Minimum,463,74.32
Minimum,464,74.91
Minimum,465,74.41
Minimum,466,74.38
Minimum,467,74.49
Minimum,468,74.33
Minimum,469,75.29
Minimum,470,74.53
Minimum,471,73.49
Minimum,472,74.77
Minimum,473,74.95
Minimum,474,74.52
Minimum,475,73.94
Minimum,476,74.86
Minimum,477,74.95
Minimum,478,74.27
Minimum,479,75.19
Minimum,480,74.61
Minimum,481,74.82
Minimum,482,75.49
Minimum,483,73.8
Minimum,484,75.21
Minimum,485,74.41
Minimum,486,75.03
Minimum,487,73.54
Minimum,488,74.83
Minimum,489,76.41
Minimum,490,74.34
Minimum,491,74.87
Minimum,492,74.59
Minimum,493,74.95
Minimum,494,75.17
Minimum,495,73.94
Minimum,496,73.8
Minimum,497,75.61
Minimum,498,74.33
Minimum,499,75.59
Minimum,500,74.14
Minimum,501,74.31
Minimum,502,74.52
Minimum,503,74.31
Minimum,504,75.8
Minimum,505,73.62
Minimum,506,74.3
Minimum,507,74.84
Minimum,508,75.73
Minimum,509,74.16
Minimum,510,75.57
Minimum,511,74.33
Minimum,512,74.85
Minimum,513,74.83
Minimum,514,74.43
Minimum,515,74.27
Minimum,516,74.54
Minimum,517,74.4
Minimum,518,74.41
Minimum,519,74.75
Minimum,520,74.1
Minimum,521,74.65
Minimum,522,75.07
Minimum,523,74.35
Minimum,524,74.7
Minimum,525,73.49
Minimum,526,75.2
Minimum,527,75.01
Minimum,528,76.52
Minimum,529,74.73
Minimum,530,74.24
Minimum,531,74.89
Minimum,532,74.35
Minimum,533,75.58
Minimum,534,74.49
Minimum,535,74.19
Minimum,536,75.52
Minimum,537,74.73
Minimum,538,75.32
Minimum,539,74.16
Minimum,540,75.51
Minimum,541,75.43
Minimum,542,73.99
Minimum,543,75.01
Minimum,544,74.16
Minimum,545,74.24
Minimum,546,75.42
Minimum,547,73.61
Minimum,548,74.62
Minimum,549,74.39
Minimum,550,75.45
Minimum,551,74.06
Minimum,552,74.45
Minimum,553,75.02
Minimum,554,74.91
Minimum,555,73.41
Minimum,556,75.66
Minimum,557,74.23
Minimum,558,75.05
Minimum,559,74.24
Minimum,560,74.59
Minimum,561,73.99
Minimum,562,75.02
Minimum,563,74.68
Minimum,564,75.16
Minimum,565,75.06
Minimum,566,74.19
Minimum,567,77.57
Minimum,568,74.85
Minimum,569,73.53
Minimum,570,74.86
Minimum,571,74.48
Minimum,572,74.34
Minimum,573,75.44
Minimum,574,73.36
Minimum,575,75.46
Minimum,576,73.89
Minimum,577,75.98
Minimum,578,75.02
Minimum,579,74.15
Minimum,580,74.98
Minimum,581,74.71
Minimum,582,74.8
Minimum,583,73.81
Minimum,584,75.18
Minimum,585,74.9
Minimum,586,74.02
Minimum,587,74.55
Minimum,588,74.94
Minimum,589,74.02
Minimum,590,74.73
Minimum,591,75.22
Minimum,592,74.14
Minimum,593,75.36
Minimum,594,74.76
Minimum,595,74.94
Minimum,596,74.24
Minimum,597,74.42
Minimum,598,74.64
Minimum,599,74.44
Minimum,600,74.84
Minimum,601,74.72
Minimum,602,74.53
Minimum,603,73.9
Minimum,604,75.53
Minimum,605,73.43
Minimum,606,76.69
Minimum,607,74.32
Minimum,608,74.67
Minimum,609,74.48
Minimum,610,75.45
Minimum,611,74.57
Minimum,612,74.24
Minimum,613,74.37
Minimum,614,74.24
Minimum,615,74.75
Minimum,616,74.37
Minimum,617,75.05
Minimum,618,74.4
Minimum,619,75.13
Minimum,620,74.69
Minimum,621,74.25
Minimum,622,75.8
Minimum,623,74.4
Minimum,624,74.89
Minimum,625,74.19
Minimum,626,75.02
Minimum,627,74.93
Minimum,628,74.04
Minimum,629,75.26
Minimum,630,74.27
Minimum,631,74.78
Minimum,632,74.51
Minimum,633,74.49
Minimum,634,74.63
Minimum,635,73.93
Minimum,636,74.94
Minimum,637,74.17
Minimum,638,75.34
Minimum,639,74.94
Minimum,640,73.82
Minimum,641,74.63
Minimum,642,75.14
Minimum,643,74.6
Minimum,644,73.76
Minimum,645,76.5
Minimum,646,73.52
Minimum,647,74.82
Minimum,648,74.98
Minimum,649,74.69
Minimum,650,75.48
Minimum,651,75.27
Minimum,652,73.58
Minimum,653,74.98
Minimum,654,74.6
Minimum,655,75.87
Minimum,656,73.89
Minimum,657,75.34
Minimum,658,74.68
Minimum,659,74.68
Minimum,660,74.5
Minimum,661,75.06
Minimum,662,74.0
Minimum,663,75.0
Minimum,664,74.36
Minimum,665,74.15
Minimum,666,74.92
Minimum,667,74.44
Minimum,668,74.05
Minimum,669,75.37
Minimum,670,74.77
Minimum,671,74.29
Minimum,672,74.7
Minimum,673,74.01
Minimum,674,75.22
Minimum,675,74.25
Minimum,676,75.05
Minimum,677,74.26
Minimum,678,74.37
Minimum,679,75.11
Minimum,680,75.7
Minimum,681,74.16
Minimum,682,75.3
Minimum,683,73.88
Minimum,684,76.54
Minimum,685,74.61
Minimum,686,73.94
Minimum,687,75.03
Minimum,688,74.22
Minimum,689,75.5
Minimum,690,74.81
Minimum,691,73.74
Minimum,692,74.37
Minimum,693,74.61
Minimum,694,75.42
Minimum,695,74.72
Minimum,696,74.74
Minimum,697,75.01
Minimum,698,75.02
Minimum,699,74.42
Minimum,700,74.46
Minimum,701,73.92
Minimum,702,74.97
Minimum,703,75.14
Minimum,704,74.19
Minimum,705,75.45
Minimum,706,74.6
Minimum,707,74.87
Minimum,708,74.07
Minimum,709,74.88
Minimum,710,74.55
Minimum,711,75.21
Minimum,712,74.22
Minimum,713,75.06
Minimum,714,73.99
Minimum,715,75.63
Minimum,716,74.17
Minimum,717,74.55
Minimum,718,74.78
Minimum,719,73.45
Minimum,720,75.18
Minimum,721,74.25
Minimum,722,74.88
Minimum,723,76.27
Minimum,724,74.79
Minimum,725,74.09
Minimum,726,74.87
Minimum,727,74.14
Minimum,728,74.73
Minimum,729,75.07
Minimum,730,74.01
Minimum,731,74.25
Minimum,732,74.75
Minimum,733,75.77
Minimum,734,74.77
Minimum,735,75.53
Minimum,736,74.67
Minimum,737,74.59
Minimum,738,74.49
Minimum,739,74.3
Minimum,740,75.29
Minimum,741,74.09
Minimum,742,74.86
Minimum,743,74.52
Minimum,744,74.53
Minimum,745,74.57
Minimum,746,74.72
Minimum,747,74.69
Minimum,748,74.19
Minimum,749,73.78
Minimum,750,75.7
Minimum,751,73.7
Minimum,752,75.12
Minimum,753,74.51
Minimum,754,74.27
Minimum,755,75.1
Minimum,756,73.93
Minimum,757,75.29
Minimum,758,74.65
Minimum,759,74.63
Minimum,760,74.79
Minimum,761,74.13
Minimum,762,76.13
Minimum,763,76.01
Minimum,764,74.2
Minimum,765,74.54
Minimum,766,74.3
Minimum,767,73.97
Minimum,768,75.77
Minimum,769,75.54
Minimum,770,73.98
Minimum,771,74.88
Minimum,772,75.89
Minimum,773,73.83
Minimum,774,75.0
Minimum,775,74.38
Minimum,776,74.37
Minimum,777,73.75
Minimum,778,75.28
Minimum,779,74.23
Minimum,780,75.29
Minimum,781,74.48
Minimum,782,75.34
Minimum,783,73.17
Minimum,784,75.5
Minimum,785,74.63
Minimum,786,74.44
Minimum,787,74.49
Minimum,788,74.37
Minimum,789,74.61
Minimum,790,74.59
Minimum,791,75.12
Minimum,792,75.69
Minimum,793,74.44
Minimum,794,74.84
Minimum,795,74.2
Minimum,796,74.33
Minimum,797,75.46
Minimum,798,74.49
Minimum,799,74.6
Minimum,800,73.98
Minimum,801,76.7
Minimum,802,74.74
Minimum,803,74.53
Minimum,804,74.62
Minimum,805,74.47
Minimum,806,74.01
Minimum,807,74.39
Minimum,808,74.62
Minimum,809,74.11
Minimum,810,75.88
Minimum,811,75.32
Minimum,812,73.7
Minimum,813,75.08
Minimum,814,75.04
Minimum,815,73.97
Minimum,816,73.97
Minimum,817,75.2
Minimum,818,74.9
Minimum,819,75.23
Minimum,820,75.47
Minimum,821,74.73
Minimum,822,75.01
Minimum,823,74.29
Minimum,824,74.34
Minimum,825,75.11
Minimum,826,74.16
Minimum,827,75.03
Minimum,828,74.83
Minimum,829,74.57
Minimum,830,74.45
Minimum,831,74.92
Minimum,832,73.68
Minimum,833,75.44
Minimum,834,74.31
Minimum,835,73.92
Minimum,836,75.4
Minimum,837,73.84
Minimum,838,75.58
Minimum,839,74.97
Minimum,840,75.8
Minimum,841,74.44
Minimum,842,73.99
Minimum,843,75.16
Minimum,844,75.01
Minimum,845,74.48
Minimum,846,74.4
Minimum,847,75.23
Minimum,848,74.75
Minimum,849,74.51
Minimum,850,75.8
Minimum,851,74.75
Minimum,852,74.0
Minimum,853,75.19
Minimum,854,74.13
Minimum,855,74.97
Minimum,856,74.18
Minimum,857,74.75
Minimum,858,74.58
Minimum,859,73.96
Minimum,860,75.79
Minimum,861,73.49
Minimum,862,75.37
Minimum,863,73.6
Minimum,864,75.27
Minimum,865,74.14
Minimum,866,74.57
Minimum,867,74.88
Minimum,868,74.34
Minimum,869,74.45
Minimum,870,75.14
Minimum,871,73.87
Minimum,872,75.23
Minimum,873,74.02
Minimum,874,74.58
Minimum,875,75.51
Minimum,876,74.83
Minimum,877,74.69
Minimum,878,77.62
Minimum,879,75.63
Minimum,880,74.43
Minimum,881,75.13
Minimum,882,74.61
Minimum,883,74.68
Minimum,884,75.06
Minimum,885,74.46
Minimum,886,74.75
Minimum,887,74.99
Minimum,888,74.33
Minimum,889,75.04
Minimum,890,75.44
Minimum,891,74.72
Minimum,892,73.37
Minimum,893,75.58
Minimum,894,74.31
Minimum,895,74.03
Minimum,896,75.45
Minimum,897,74.28
Minimum,898,75.07
Minimum,899,74.21
Minimum,900,74.96
Minimum,901,74.4
Minimum,902,75.37
Minimum,903,74.6
Minimum,904,74.01
Minimum,905,75.56
Minimum,906,75.66
Minimum,907,74.45
Minimum,908,75.32
Minimum,909,73.29
Minimum,910,75.55
Minimum,911,75.17
Minimum,912,74.38
Minimum,913,73.91
Minimum,914,75.1
Minimum,915,74.5
Minimum,916,74.23
Minimum,917,74.87
Minimum,918,76.9
Minimum,919,74.86
Minimum,920,74.53
Minimum,921,74.33
Minimum,922,74.38
Minimum,923,75.35
Minimum,924,73.5
Minimum,925,74.95
Minimum,926,74.81
Minimum,927,74.8
Minimum,928,75.5
Minimum,929,75.31
Minimum,930,74.27
Minimum,931,74.15
Minimum,932,75.36
Minimum,933,74.65
Minimum,934,74.45
Minimum,935,75.87
Minimum,936,74.25
Minimum,937,74.36
Minimum,938,74.8
Minimum,939,75.11
Minimum,940,73.44
Minimum,941,75.46
Minimum,942,74.51
Minimum,943,75.21
Minimum,944,73.81
Minimum,945,74.67
Minimum,946,75.0
Minimum,947,74.16
Minimum,948,75.2
Minimum,949,74.26
Minimum,950,74.44
Minimum,951,74.87
Minimum,952,75.17
Minimum,953,74.36
Minimum,954,73.74
Minimum,955,75.45
Minimum,956,74.68
Minimum,957,76.22
Minimum,958,74.57
Minimum,959,74.56
Minimum,960,74.15
Minimum,961,76.06
Minimum,962,74.93
Minimum,963,74.69
Minimum,964,74.07
Minimum,965,75.04
Minimum,966,75.17
Minimum,967,74.98
Minimum,968,73.74
Minimum,969,74.95
Minimum,970,74.37
Minimum,971,75.47
Minimum,972,74.11
Minimum,973,74.64
Minimum,974,74.84
Minimum,975,74.21
Minimum,976,75.07
Minimum,977,74.39
Minimum,978,74.31
Minimum,979,74.41
Minimum,980,75.12
Minimum,981,74.39
Minimum,982,75.03
Minimum,983,74.8
Minimum,984,74.39
Minimum,985,74.93
Minimum,986,74.7
Minimum,987,73.81
Minimum,988,74.81
Minimum,989,76.1
Minimum,990,74.27
Minimum,991,74.97
Minimum,992,74.62
Minimum,993,74.22
Minimum,994,75.81
Minimum,995,73.51
Minimum,996,77.14
Minimum,997,74.24
Minimum,998,75.29
Minimum,999,74.48
Minimum,1000,74.53
Minimum,1001,74.45
Minimum,1002,74.7
Minimum,1003,73.56
Minimum,1004,74.91
Minimum,1005,74.88
Minimum,1006,75.49
Minimum,1007,75.01
Minimum,1008,74.78
Minimum,1009,74.68
Minimum,1010,74.31
Minimum,1011,75.14
Minimum,1012,74.24
Minimum,1013,74.69
Minimum,1014,73.75
Minimum,1015,75.2
Minimum,1016,75.51
Minimum,1017,74.52
Minimum,1018,74.88
Minimum,1019,74.48
Minimum,1020,74.98
Minimum,1021,75.14
Minimum,1022,73.73
Minimum,1023,75.49
Minimum,1024,74.57
Minimum,1025,74.34
Minimum,1026,75.07
Minimum,1027,74.56
Minimum,1028,73.61
